model,config,quantization,noise_type,question_id,question_clean,question_noisy,question_repaired,reference_answer,answer_clean,answer_noisy,answer_repaired,bleu_clean,bleu_noisy,bleu_repaired,bertscore_clean,bertscore_noisy,bertscore_repaired,judge_clean,judge_noisy,judge_repaired
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,0,Do you have information about A1C,Do u hav any info on AIC?,What information do you have about A1C testing?,"Summary : A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose, or blood sugar, level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day. Your A1C test result is given in percentages. The higher the percentage, the higher your blood sugar levels have been: - A normal A1C level is below 5.7 percent - Prediabetes is between 5.7 to 6.4 percent. Having prediabetes is a risk factor for getting type 2 diabetes. People with prediabetes may need retests every year. - Type 2 diabetes is above 6.5 percent - If you have diabetes, you should have the A1C test at least twice a year. The A1C goal for many people with diabetes is below 7. It may be different for you. Ask what your goal should be. If your A1C result is too high, you may need to change your diabetes care plan. NIH: National Institute of Diabetes and Digestive and Kidney Diseases",A1C is a blood test that measures your average blood sugar level over the past 2-3 months.  It's used to diagnose and monitor diabetes.,A1C (glycated hemoglobin) is a blood test that measures your average blood sugar level over the past 2-3 months.  It's used to diagnose and monitor diabetes.,"A1C testing measures your average blood sugar levels over the past 2-3 months. It is expressed as a percentage reflecting the amount of hemoglobin in red blood cells that is coated with glucose.  

It helps diagnose diabetes and monitor how well it's being managed.   Normal A1C levels are below 5.7%. Levels between 5.7% and 6.4% indicate prediabetes, while 6.5% or higher indicates diabetes.",0.033840879020351655,0.07091647610211722,1.46449856039972,0.8687325119972229,0.8560696244239807,0.870258629322052,2,2,3
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,1,What is (are) Abdominal Pain ?,What r abdominal pain?,What causes abdominal pain?,"Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious. Call your healthcare provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if - You have abdominal pain that is sudden and sharp - You also have pain in your chest, neck or shoulder - You're vomiting blood or have blood in your stool - Your abdomen is stiff, hard and tender to touch - You can't move your bowels, especially if you're also vomiting","Abdominal pain is discomfort or pain in the area between the chest and pelvis.  It can have many causes, ranging from mild indigestion to serious conditions like appendicitis.","Abdominal pain is discomfort or pain in the area between the chest and pelvis.  It can have many causes, ranging from mild indigestion to serious conditions like appendicitis.","Abdominal pain can be caused by a wide range of factors including indigestion, gas, constipation, food poisoning, infections, inflammation, ulcers, appendicitis, kidney stones, endometriosis, and more serious conditions like bowel obstruction or pancreatitis.",0.10104486048552647,0.10104486048552647,0.13827793940625444,0.837851881980896,0.837851881980896,0.8142974376678467,3,3,2
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,2,What is (are) Abortion ?,What r abortion?,What is an abortion?,"An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional. The decision to end a pregnancy is very personal. If you are thinking of having an abortion, most healthcare providers advise counseling.",Abortion is the termination of a pregnancy by removing or expelling the embryo or fetus from the uterus.,An abortion is the termination of a pregnancy by removing or expelling the embryo or fetus from the uterus.,An abortion is the termination of a pregnancy by removing or expelling the embryo or fetus from the uterus.,2.9901685784083285,3.885807043545504,3.885807043545504,0.8971565365791321,0.9101937413215637,0.9101937413215637,2,2,2
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,3,What is (are) Abscess ?,What r absesses?,What are abscesses?,"An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected, your body's immune system tries to fight the infection. White blood cells go to the infected area, collect within the damaged tissue, and cause inflammation. During this process, pus forms. Pus is a mixture of living and dead white blood cells, germs, and dead tissue. Bacteria, viruses, parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red, raised and painful. Abscesses inside your body may not be obvious and can damage organs, including the brain, lungs and others. Treatments include drainage and antibiotics.",An abscess is a localized collection of pus that forms within body tissues due to infection.,Abscesses are localized collections of pus that form within body tissues due to infection.,Abscesses are localized collections of pus that form within body tissues due to infection.,0.017355751371053812,0.0025003160266188944,0.0025003160266188944,0.8820732235908508,0.8699078559875488,0.8699078559875488,2,2,2
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,4,What is (are) Acne ?,What iz acne?,What is acne?,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars. No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse. If you have acne - Clean your skin gently - Try not to touch your skin - Avoid the sun Treatments for acne include medicines and creams. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells.  This can lead to pimples, whiteheads, blackheads, and other blemishes.","Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells.  This can lead to pimples, whiteheads, blackheads, and other blemishes.","Acne is a common skin condition that occurs when hair follicles become clogged with oil and dead skin cells.  This can lead to pimples, whiteheads, blackheads, and other blemishes.",0.16855240223855483,0.16855240223855483,0.16855240223855483,0.8668415546417236,0.8668415546417236,0.8668415546417236,2,2,2
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,5,What is (are) Acoustic Neuroma ?,What r acoustic neurooma?,What are acoustic neuromas?,"An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include - Loss of hearing on one side - Ringing in ears - Dizziness and balance problems The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening. Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it. If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options. If the tumors affect both hearing nerves, it is often because of a genetic disorder called neurofibromatosis. NIH: National Institute on Deafness and Communication Disorders","Acoustic neuromas are noncancerous tumors that grow on the vestibulocochlear nerve, which connects the inner ear to the brain.  They cause hearing loss, tinnitus, and balance problems.","Acoustic neuromas are noncancerous tumors that grow on the vestibulocochlear nerve (cranial nerve VIII), which is responsible for hearing and balance.","Acoustic neuromas are noncancerous tumors that grow on the vestibulocochlear nerve (the auditory nerve), which transmits sound and balance information from the inner ear to the brain.",0.1595279347588044,0.012178383065628033,0.09992351526134491,0.8676746487617493,0.8432703614234924,0.8472848534584045,3,3,3
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,6,Do you have information about Acupuncture,Do u hav any info on Acupunture?,What information do you have about acupuncture?,"Summary : Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body. Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow. NIH: National Center for Complementary and Integrative Health","Acupuncture is a traditional Chinese medicine technique involving inserting thin needles into specific points on the body to stimulate energy flow and promote healing.  

While some studies suggest potential benefits for certain conditions like pain management, more research is needed to fully understand its effectiveness and safety.","Acupuncture is a traditional Chinese medicine technique involving inserting thin needles into specific points on the body to stimulate energy flow and promote healing. 

While some studies suggest potential benefits for certain conditions like pain management, more research is needed to confirm its effectiveness and safety.  It's important to consult with a qualified healthcare professional before trying acupuncture.","Acupuncture is a traditional Chinese medicine technique involving inserting thin needles into specific points on the body to stimulate energy flow and promote healing.  

While some studies suggest potential benefits for certain conditions like pain management and nausea, more research is needed to fully understand its effectiveness and safety.",3.397265159085843,4.073688322380951,3.6400073840801555,0.8815671801567078,0.8766444325447083,0.8833730220794678,2,3,3
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,7,What is (are) Acute Bronchitis ?,What r acute bronchitus?,What are the symptoms and causes of acute bronchitis?,"Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic. Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone. The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis. To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests. Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial. NIH: National Heart, Lung, and Blood Institute","Acute bronchitis is an inflammation of the bronchial tubes, which carry air to and from your lungs.  It's usually caused by a viral infection.","Acute bronchitis is an inflammation of the bronchial tubes, which carry air to and from your lungs.  It's usually caused by a viral infection.","Acute bronchitis is an inflammation of the bronchial tubes, which carry air to and from your lungs. 

**Symptoms:**

* Cough (often producing mucus)
* Shortness of breath
* Wheezing
* Chest discomfort or tightness
* Fatigue
* Low-grade fever

**Causes:**

* Viral infections (most common cause)
* Bacterial infections
* Irritants like smoke, fumes, or dust  



Let me know if you have any other questions. Remember, I am not a doctor and this information should not be considered medical advice. Always consult with a healthcare professional for diagnosis and treatment.",0.010997723558214205,0.010997723558214205,3.532060386283109,0.8645283579826355,0.8645283579826355,0.8375565409660339,2,2,3
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,8,What is (are) Acute Lymphocytic Leukemia ?,What iz acute lymphositic leukemia?,What is acute lymphoblastic leukemia?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts. ALL is the most common type of cancer in children. Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70. Symptoms of ALL include: - Weakness or feeling tired - Fever - Easy bruising or bleeding - Bleeding under the skin - Shortness of breath - Weight loss or loss of appetite - Pain in the bones or stomach - Pain or a feeling of fullness below the ribs - Painless lumps in the neck, underarm, stomach, or groin Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute lymphocytic leukemia (ALL) is a type of cancer that affects the bone marrow and causes an overproduction of immature lymphocytes, a type of white blood cell.","Acute lymphocytic leukemia (ALL) is a type of cancer that affects the bone marrow and causes an overproduction of immature lymphocytes, a type of white blood cell.",Acute lymphoblastic leukemia (ALL) is a type of cancer that affects the bone marrow and causes an overproduction of immature white blood cells called lymphocytes.,0.016239070175797243,0.016239070175797243,0.008824255186564586,0.8505356311798096,0.8505356311798096,0.8543041944503784,3,3,2
gemma-2-9b-it,gemma2_9b.yaml,none,typos_grammar,9,What is (are) Acute Myeloid Leukemia ?,What iz acute myeloid leukemia?,What is acute myeloid leukemia?,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast. AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation. Symptoms of AML include: - Fever - Shortness of breath - Easy bruising or bleeding - Bleeding under the skin - Weakness or feeling tired - Weight loss or loss of appetite Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back. NIH: National Cancer Institute","Acute myeloid leukemia (AML) is a type of cancer that affects blood-forming cells in the bone marrow.  It causes these cells to multiply uncontrollably, crowding out healthy blood cells.","Acute myeloid leukemia (AML) is a type of cancer that affects blood-forming cells in the bone marrow.  It causes these cells to multiply rapidly and abnormally, crowding out healthy blood cells.","Acute myeloid leukemia (AML) is a type of cancer that affects blood-forming cells in the bone marrow.  It causes these cells to multiply rapidly and abnormally, crowding out healthy blood cells.",0.09040609089838673,0.12441364903256895,0.12441364903256895,0.8636653423309326,0.8644871711730957,0.8644871711730957,3,3,3
